# 青空文庫に出現する外字注記とUCSの対応一覧
# 
# ※ 括弧が対応していない等、極端に間違えているものは除外した。
# ※ 注記辞書にない注記でも、「／・＋」等を間違えている程度のものは採集して記載した。
# ※ 「－・-」は「－」に、「+」は「＋」に、「<」は「＜」に統一した。
# ※［…］の前後の「」の括弧の抜けは補完した。
# ※ IVSで表記可能なものは、Adobe-Japan1 を優先し、無いものに限り汎用電子も使用した。
# ※ 注記辞書の記法から逸れている表記には念のため「標準注記外」とコメントに付記した。
################################
# AozoraEpub3 Modified
#
# http://kanji-database.sourceforge.net/aozora/gaiji.html
# https://github.com/cjkvi/cjkvi-data/blob/master/aozora_gaiji_chuki.txt
# 上記から取得後以下の変換を行った
# 注記内 － を － に変換
# ・IVS文字は chuki_ivs.txt に移動
# ・2文字以上は濁点半濁点以外コメントアウト
# ・※で始まらない物はコメントアウトまたは読み込み時に除外
################################

#UCS	IVS	char	青空文庫記法	→コメント
U+22931		𢤱	※［＃「りっしんべん＋龍」］
U+2F8B1		懶	※［＃「りっしんべん＋頼」］
U+06201		戁	※［＃「（攤－てへん）／心」］
U+2296B		𢥫	※［＃「韻／心」］
U+06203		戃	※［＃「りっしんべん＋黨」］
U+06204		戄	※［＃「りっしんべん＋矍」］
U+06207		戇	※［＃「（章＋夂／貢）／心」］
U+2298F		𢦏	※［＃「栽－木」、第4水準2-12-82］
U+06213		戓	※［＃「戒」の「廾」に代えて「口」］
U+06215		戕	※［＃「爿＋戈」、第4水準2-12-83］
U+0621C		戜	※［＃「戒」の「廾」に代えて「呈」］
U+039B8		㦸	※［＃「卓＋戈」］
U+06220		戠	※［＃「音＋戈」］
U+06222		戢	※［＃「楫のつくり＋戈」、第3水準1-84-66］
U+06223		戣	※［＃「癸＋戈」、第4水準2-12-84］
U+06227		戧	※［＃「倉＋戈」］
U+06229		戩	※［＃「晉＋戈」、第4水準2-12-85］
U+0622B		戫	※［＃「有＋或」］
U+06231		戱	※［＃「墟のつくり＋戈」］	→［包摂適用　戯］166
U+06236		戶	※［＃「戸の旧字」］	→［包摂適用　戸］5
U+06239		戹	※［＃「戸の旧字＋乙」］
U+06239		戹	※［＃「戸／乙」］
U+0623D		戽	※［＃「戸の旧字＋斗」］
U+0623E		戾	※［＃「戸の旧字＋犬」、第3水準1-84-67］	→［包摂適用　戻］124、5
U+06242		扂	※［＃「戸の旧字＋占」］
U+06243		扃	※［＃「戸の旧字＋炯のつくり」、第3水準1-84-68］
U+06244		扄	※［＃「戸の旧字＋向」］
U+06246		扆	※［＃「戸の旧字＋衣」、第4水準2-12-86］
U+0624C		扌	※［＃「てへん」、第4水準2-12-87］
U+06250		扐	※［＃「てへん＋力」］
U+06251		扑	※［＃「てへん＋卜」、第4水準2-12-88］
U+06252		扒	※［＃「てへん＋八」、第4水準2-12-89］
U+06254		扔	※［＃「てへん＋乃」］
U+06256		扖	※［＃「てへん＋入」、第3水準1-84-69］
U+0625A		扚	※［＃「てへん＋（勹＜一）」、第3水準1-84-70］
U+0625C		扜	※［＃「てへん＋于」］
U+06261		扡	※［＃「てへん＋也」、第4水準2-12-90］
U+06264		扤	※［＃「てへん＋兀」、第4水準2-12-91］
U+0626D		扭	※［＃「てへん＋丑」、第4水準2-12-93］
U+0626F		扯	※［＃「てへん＋止」、第3水準1-84-71］
U+06273		扳	※［＃「てへん＋反」、第4水準2-12-94］
U+0627A		扺	※［＃「てへん＋氏」］
U+0627B		扻	※［＃「てへん＋欠」、第4水準2-12-92］
U+0627D		扽	※［＃「てへん＋屯」］
U+06285		抅	※［＃「てへん＋勾」、第3水準1-84-72］
U+06287		抇	※［＃「てへん＋日」］
U+0628D		抍	※［＃「てへん＋升」］
U+0628E		抎	※［＃「てへん＋云」］
U+0628F		抏	※［＃「てへん＋元」］
U+06290		抐	※［＃「てへん＋吶のつくり」］
U+06299		抙	※［＃「てへん＋手」、第4水準2-13-1］
U+039DE		㧞	※［＃「抜」の「友」に代えて「ノ／友」］
U+062A6		抦	※［＃「てへん＋丙」、第4水準2-13-2］
U+062A8		抨	※［＃「てへん＋怦のつくり」］
U+062B3		抳	※［＃「てへん＋尼」］
U+062B6		抶	※［＃「てへん＋失」］
U+062B7		抷	※［＃「てへん＋丕」］
U+062BA		抺	※［＃「てへん＋未」］
U+062BE		抾	※［＃「てへん＋去」］
U+062BF		抿	※［＃「てへん＋民」］
U+062C4		拄	※［＃「てへん＋（麈－鹿）」、第3水準1-84-73］
U+062CB		拋	※［＃「抛」の「九」に代えて「尤」］	→［包摂適用　抛］65
U+062CE		拎	※［＃「てへん＋令」］
U+062D5		拕	※［＃「てへん＋它」、第4水準2-13-3］
U+062D6		拖	※［＃「てへん＋施のつくり」、第3水準1-84-74］
U+062DA		拚	※［＃「てへん＋弁」］
U+22AB8		𢪸	※［＃「怨」の「心」に代えて「手」、第4水準2-13-4］
U+062EA		拪	※［＃「てへん＋西」］
U+062F2		拲	※［＃「共／手」］
U+062F4		拴	※［＃「てへん＋銓のつくり」］
U+062FC		拼	※［＃「てへん＋并」、第3水準1-84-75］
U+062FD		拽	※［＃「てへん＋曳」、第4水準2-13-5］
U+06303		挃	※［＃「てへん＋至」、第4水準2-13-6］
U+06304		挄	※［＃「てへん＋光」］
U+0630A		挊	※［＃「てへん＋裃のつくり」、第3水準1-84-76］
U+0630B		挋	※［＃「てへん＋臣」］
U+0630D		挍	※［＃「てへん＋皎のつくり」、第4水準2-13-7］
U+0630E		挎	※［＃「てへん＋夸」、第4水準2-13-7］
U+06310		挐	※［＃「如／手」、第4水準2-13-8］
U+06313		挓	※［＃「てへん＋宅」］
U+06316		挖	※［＃「てへん＋（穴かんむり／乙）」］
U+06318		挘	※［＃「てへん＋劣」、第3水準1-84-77］
U+06329		挩	※［＃「てへん＋兌」］
U+0632A		挪	※［＃「てへん＋那」の「二」に代えて「はみ出た横棒二本」］
U+0632D		挭	※［＃「てへん＋哽のつくり」］
U+06332		挲	※［＃「沙／手」、第4水準2-13-11］
U+06335		挵	※［＃「てへん＋弄」、第4水準2-13-12］
U+06336		挶	※［＃「てへん＋局」］
U+06339		挹	※［＃「てへん＋邑」、第3水準1-84-78］
U+0633B		挻	※［＃「蜒」の「虫」に代えて「てへん」、第4水準2-13-13］
U+0633C		挼	※［＃「てへん＋綏のつくり」、第4水準2-13-14］
U+06341		捁	※［＃「てへん＋晧のつくり」、第4水準2-13-15］
U+06342		捂	※［＃「てへん＋吾」］
U+06343		捃	※［＃「てへん＋君」、第3水準1-84-79］
U+06344		捄	※［＃「てへん＋求」、第4水準2-13-16］
U+06346		捆	※［＃「てへん＋困」］
U+0634A		捊	※［＃「てへん＋孚」］
U+0634B		捋	※［＃「てへん＋埒のつくり」］
U+0634E		捎	※［＃「てへん＋悄のつくり」、第4水準2-13-17］
U+06352		捒	※［＃「てへん＋束」］
U+06353		捓	※［＃「てへん＋邪」］
U+06354		捔	※［＃「てへん＋角」］
U+06358		捘	※［＃「てへん＋俊のつくり」］
U+06359		捙	※［＃「てへん＋車」、第4水準2-13-19］
U+0635B		捛	※［＃「てへん＋呂」］
U+22B35		𢬵	※［＃「てへん＋弃」］
U+22B46		𢭆	※［＃「てへん＋秀」、第4水準2-13-18］
U+22B4F		𢭏	※［＃「てへん＋寿」、第4水準2-13-9］
U+22B50		𢭐	※［＃「てへん＋労」、第4水準2-13-10］
U+06365		捥	※［＃「てへん＋宛」、第3水準1-84-80］
U+06366		捦	※［＃「てへん＋金」］
U+0636C		捬	※［＃「てへん＋府」、第4水準2-13-22］
U+0636D		捭	※［＃「てへん＋婢のつくり」］
U+06371		捱	※［＃「てへん＋涯のつくり」］
U+06374		捴	※［＃「てへん＋（蚣のつくり／心）」］
U+06375		捵	※［＃「てへん＋典」］
U+06378		捸	※［＃「てへん＋隶」］
U+0637C		捼	※［＃「てへん＋委」、第3水準1-84-81］
U+0637D		捽	※［＃「てへん＋卒」］
U+0637F		捿	※［＃「てへん＋妻」］
U+06381		掁	※［＃「てへん＋長」］
U+06382		掂	※［＃「てへん＋店」］
U+06384		掄	※［＃「てへん＋侖」、第4水準2-13-23］
U+06387		掇	※［＃「てへん＋啜のつくり」］
U+06387		掇	※［＃「てへん＋綴のつくり」］
U+06387		掇	※［＃「綴」の「糸」に代えて「てへん」］
U+06387		掇	※［＃「綴」の「糸」に代えて「手へん」］
U+0638A		掊	※［＃「てへん＋倍のつくり」］
U+06390		掐	※［＃「てへん＋陷のつくり」］
U+06394		掔	※［＃「賢」の「貝」に代えて「手」、第4水準2-13-26］
U+06395		掕	※［＃「てへん＋陵のつくり」］
U+06399		掙	※［＃「てへん＋爭」、第4水準2-13-24］
U+0639A		掚	※［＃「てへん＋兩」］
U+0639E		掞	※［＃「てへん＋炎」］
U+063A4		掤	※［＃「てへん＋（萠－くさかんむり）」］
U+063A6		掦	※［＃「てへん＋易」］
U+063AD		掭	※［＃「てへん＋忝」］
U+063AE		掮	※［＃「てへん＋肩」の「戸」に代えて「戸の旧字」］
U+063AF		掯	※［＃「てへん＋肯」］
U+063BD		掽	※［＃「てへん＋（朔のへん－屮）／（墟のつくり－虍）」、第4水準2-13-27］
U+22BA6		𢮦	※［＃「てへん＋険のつくり」、第4水準2-13-21］
U+063C1		揁	※［＃「てへん＋貞」］
U+063C8		揈	※［＃「てへん＋鞫のつくり」］
U+063CE		揎	※［＃「てへん＋宣」］
U+063D1		揑	※［＃「てへん＋臼／工」］	→［包摂適用　捏］
U+063D3		揓	※［＃「てへん＋施」］
U+063D4		揔	※［＃「てへん＋怱」、第4水準2-13-29］
U+063D5		揕	※［＃「てへん＋甚」、第4水準2-13-30］
U+063DC		揜	※［＃「てへん＋（合／廾）」、第4水準2-13-31］
U+063E0		揠	※［＃「てへん＋偃のつくり」、第4水準2-13-32］
U+063E5		揥	※［＃「てへん＋帝」、第3水準1-84-82］
U+063EA		揪	※［＃「てへん＋秋」］
U+063EB		揫	※［＃「秋／手」、第4水準2-13-33］
U+063EC		揬	※［＃「てへん＋突」の「大」に代えて「犬」、第4水準2-13-34］
U+063ED		揭	※［＃「てへん＋曷」、第3水準1-84-83］	→［包摂適用　掲150］
U+063F2		揲	※［＃「てへん＋喋のつくり」、第4水準2-13-35］
U+063F3		揳	※［＃「てへん＋禊のつくり」］
U+063F5		揵	※［＃「てへん＋廴＋聿」、第3水準1-84-84］
U+063F7		揷	※［＃「插」でつくりの縦棒が下に突き抜けている、第4水準2-13-28］
U+063F8		揸	※［＃「てへん＋査」］
U+063F9		揹	※［＃「てへん＋背」］
U+06452		摒	※［＃「てへん＋（尸＋餠のつくり）」］
U+22C1D		𢰝	※［＃「てへん＋茂」、第4水準2-13-20］
U+22C24		𢰤	※［＃「てへん＋（嵜－山）」、第4水準2-13-25］
U+2B77C		𫝼	※［＃「てへん＋発」］
U+06409		搉	※［＃「てへん＋確のつくり」、第4水準2-13-36］
U+0640A		搊	※［＃「てへん＋芻」］
U+06410		搐	※［＃「てへん＋畜」、第3水準1-84-85］
U+06412		搒	※［＃「てへん＋旁」］
U+06414		搔	※［＃「てへん＋蚤」、第3水準1-84-86］	→［78互換包摂掻］
U+06418		搘	※［＃「てへん＋耆」］
U+0641E		搞	※［＃「てへん＋高」、第4水準2-13-37］
U+06420		搠	※［＃「てへん＋朔」］
U+06422		搢	※［＃「てへん＋晉」、第3水準1-84-87］
U+06424		搤	※［＃「てへん＋縊のつくり」］
U+06425		搥	※［＃「てへん＋二点しんにょうの追」、第4水準2-13-38］
U+06427		搧	※［＃「てへん＋扇の旧字」］
U+06427		搧	※［＃「てへん＋（戸の旧字＋羽）」］
U+06429		搩	※［＃「てへん＋桀」、第4水準2-13-39］
U+0642A		搪	※［＃「てへん＋溏のつくり」］
U+0642F		搯	※［＃「てへん＋稻のつくり」、第4水準2-13-40］
U+06430		搰	※［＃「てへん＋骨」］
U+06435		搵	※［＃「てへん＋慍のつくり」］
U+0643D		搽	※［＃「てへん＋茶」］
U+0643F		搿	※［＃「拜のへん＋合＋手」］
U+03A3B		㨻	※［＃「斬／手」］
U+063C5		揅	※［＃「研／手」］
U+0644B		摋	※［＃「てへん＋殺」の「木」に代えて「木＋右上に丶」］
U+0644F		摏	※［＃「てへん＋舂」］
U+06451		摑	※［＃「てへん＋國」、第3水準1-84-89］	→［78互換包摂掴］
U+06453		摓	※［＃「てへん＋二点しんにょうの逢」］
U+06454		摔	※［＃「てへん＋蟀のつくり」］
U+0645A		摚	※［＃「てへん＋堂」、第4水準2-13-41］
U+0645B		摛	※［＃「てへん＋璃のつくり」、第4水準2-13-42］
U+0645C		摜	※［＃「てへん＋貫」］
U+0645D		摝	※［＃「てへん＋鹿」、第4水準2-13-43］
U+0645F		摟	※［＃「てへん＋婁」］
U+06460		摠	※［＃「てへん＋總のつくり」、第3水準1-84-90］
U+06461		摡	※［＃「てへん＋（廐－广）」］
U+06463		摣	※［＃「てへん＋虎」の「儿」に代えて「且」］
U+0646D		摭	※［＃「てへん＋庶」、第3水準1-84-91］
U+06473		摳	※［＃「てへん＋區」、第4水準2-13-44］
U+06474		摴	※［＃「てへん＋樗のつくり」］
U+06479		摹	※［＃「暮」の「日」に代えて「手」、第3水準1-84-88］
U+0647B		摻	※［＃「てへん＋參」］
U+0647D		摽	※［＃「てへん＋票」、第4水準2-13-45］
U+06481		撁	※［＃「てへん＋牽」］
U+06487		撇	※［＃「てへん＋敝」、第4水準2-13-46］
U+22CC0		𢳀	※［＃「てへん＋（「縻」の「糸」に代えて「手」）」］
U+22CE5		𢳥	※［＃「てへん＋造」］
U+22D07		𢴇	※［＃「てへん＋執」］
U+03A45		㩅	※［＃「てへん＋澑のつくり」］
U+06485		撅	※［＃「てへん＋厥」］
U+0648F		撏	※［＃「てへん＋潯のつくり」］
U+06490		撐	※［＃「てへん＋掌」の「手」に代えて「冴のつくり」］
U+06491		撑	※［＃「てへん＋掌」、第4水準2-13-47］
U+06498		撘	※［＃「てへん＋答」］
U+06499		撙	※［＃「てへん＋墫のつくり」］
U+0649B		撛	※［＃「てへん＋隣のつくり」］
U+0649D		撝	※［＃「てへん＋爲」、第4水準2-13-48］
U+0649F		撟	※［＃「てへん＋喬」、第4水準2-13-49］
U+064A1		撡	※［＃「てへん＋參」の「彡」に代えて「恭－共」］
U+064A3		撣	※［＃「てへん＋單」］
U+064A6		撦	※［＃「てへん＋奢」］
U+064A8		撨	※［＃「てへん＋焦」］
U+064AC		撬	※［＃「てへん＋橇のつくり」］
U+064B3		撳	※［＃「てへん＋欽」］
U+064BD		撽	※［＃「檄」の「木」に代えて「てへん」］
U+064BE		撾	※［＃「てへん＋二点しんにょうの過」、第3水準1-84-93］
U+064BF		撿	※［＃「てへん＋僉」、第3水準1-84-94］
U+064C4		擄	※［＃「てへん＋虜」の「田」に代えて「田の真ん中の横棒が横につきぬけたもの」、第3水準1-85-1］
U+064C9		擉	※［＃「てへん＋蜀」］
U+064CA		擊	※［＃「（車／凵＋殳）／手」、第3水準1-85-2］	→［包摂適用　撃］
U+064CB		擋	※［＃「てへん＋當」、第4水準2-13-50］
U+064CC		擌	※［＃「てへん＋筴」、第4水準2-13-51］
U+064CE		擎	※［＃「敬／手」、第3水準1-84-92］
U+064D0		擐	※［＃「てへん＋鐶のつくり」、第3水準1-85-3］
U+064D1		擑	※［＃「楫＋戈」の「木」に代えて「てへん」］
U+064D5		擕	※［＃「てへん＋雋」、第4水準2-13-52］
U+064D7		擗	※［＃「てへん＋辟」、第4水準2-13-53］
U+064E4		擤	※［＃「てへん＋（鼾－干）」、第4水準2-13-55］
U+064E9		擩	※［＃「てへん＋需」］
U+064EA		擪	※［＃「壓」の「土」に代えて「手」］
U+064EB		擫	※［＃「てへん＋厭」］
U+064ED		擭	※［＃「てへん＋護のつくり」］
U+064F0		擰	※［＃「てへん＋濘のつくり」］
U+22DE1		𢷡	※［＃「てへん＋（丙＋丙）／木」、第4水準2-13-54］
U+064E5		擥	※［＃「覽」の「見」に代えて「手」、第4水準2-13-56］
U+064F5		擵	※［＃「てへん＋麾」の「毛」に代えて「手」］
U+064F7		擷	※［＃「てへん＋頡」、第3水準1-85-4］
U+064FB		擻	※［＃「てへん＋數」、第3水準1-85-5］
U+064FF		擿	※［＃「てへん＋二点しんにょうの適」、第4水準2-13-57］
U+06501		攁	※［＃「てへん＋（癢－やまいだれ）」］
U+06504		攄	※［＃「てへん＋慮」、第4水準2-13-58］
U+06508		攈	※［＃「てへん＋塵」の「土」に代えて「禾」］
U+06508		攈	※［＃「てへん＋（鹿／禾）」］
U+06509		攉	※［＃「てへん＋霍」］
U+0650A		攊	※［＃「てへん＋櫪のつくり」］
U+0650F		攏	※［＃「てへん＋龍」、第4水準2-13-60］
U+03A6E		㩮	※［＃「てへん＋擧」、第4水準2-13-59］
U+06513		攓	※［＃「てへん＋蹇」］
U+06514		攔	※［＃「てへん＋闌」、第4水準2-13-61］
U+06515		攕	※［＃「てへん＋孅のつくり」］
U+06516		攖	※［＃「てへん＋嬰」、第4水準2-13-62］
U+06519		攙	※［＃「てへん＋纔のつくり」］
U+03A73		㩳	※［＃「てへん＋雙」、第4水準2-13-63］
U+0651B		攛	※［＃「てへん＋（穴かんむり／鼠）」］
U+0651E		攞	※［＃「てへん＋羅」、第4水準2-13-64］
U+0651F		攟	※［＃「てへん＋麕」］
U+06522		攢	※［＃「てへん＋贊」、第3水準1-85-6］	→［78互換包摂攅］
U+06526		攦	※［＃「てへん＋麗」］
U+06529		攩	※［＃「てへん＋黨」、第3水準1-85-7］
U+0652E		攮	※［＃「てへん＋嚢」の「ハ」に代えて「口＋口」］
U+06531		攱	※［＃「立＋支」］
U+06532		攲	※［＃「奇＋支」、第4水準2-13-65］
U+0653A		攺	※［＃「巳＋攵」］
U+0653C		攼	※［＃「干＋攵」］
U+0653D		攽	※［＃「扮のつくり＋攵」］
U+06543		敃	※［＃「民＋攵」］
U+06544		敄	※［＃「鶩－鳥」、第4水準2-13-66］
U+06547		敇	※［＃「朿＋攵」］
U+06549		敉	※［＃「米＋攵」］
U+0654E		敎	※［＃「希＋攵」の「巾」に代えて「孑」］	→［包摂適用　教］8
U+06550		敐	※［＃「辰＋攵」］
U+06552		敒	※［＃「伸＋攵」］
U+06554		敔	※［＃「吾＋攵」、第4水準2-13-67］
U+0655F		敟	※［＃「典＋攵」］
U+06560		敠	※［＃「綴のつくり＋攴」］
U+06567		敧	※［＃「奇＋攴」、第3水準1-85-9］
U+0656B		敫	※［＃「檄－木」、第4水準2-13-68］
U+0657A		敺	※［＃「區＋攴」、第4水準2-13-69］
U+0657D		敽	※［＃「喬＋攴」］
U+06581		斁	※［＃「澤のつくり＋攵」、第4水準2-13-70］
U+08D01		贁	※［＃「（貝／貝）＋攵」］
U+06584		斄	※［＃「釐」の「里」に代えて「來」、第4水準2-13-71］
U+06585		斅	※［＃「學＋攴」、第4水準2-13-72］
U+0658A		斊	※［＃「（吝－口）／耳」、第4水準2-13-73］
U+06592		斒	※［＃「対のへん＋編のつくり」の「戸」に代えて「戸の旧字」］
U+06595		斕	※［＃「対のへん＋闌」］
U+06595		斕	※［＃「文＋瀾のつくり」］
U+06595		斕	※［＃「斌」の「武」に代えて「瀾のつくり」］
U+06598		斘	※［＃「夕＋斗」］
U+0659D		斝	※［＃「（口＋口）／冖／斗」、第3水準1-85-10］
U+065A0		斠	※［＃「冓＋斗」の「冉」に代えて「冉の4画目左右に突き出る」］
U+065A3		斣	※［＃「蜀＋斗」］
U+065A6		斦	※［＃「斤＋斤」］
U+065AE		斮	※［＃「昔＋斤」］
U+065AF		斯	※［＃「雨かんむり／斯」］
U+230AA		𣂪	※［＃「亞＋きん」］
U+065B2		斲	※［＃「（卯／亞の下半分）＋斤」、第4水準2-13-74］
U+065B3		斳	※［＃「槿のつくり＋斤」］
U+065B4		斴	※［＃「隣のつくり＋斤」］
U+065B5		斵	※［＃（「留」の「田」に代えて「亞」）＋斤、第4水準2-13-75］
U+065B8		斸	※［＃「屬＋斤」、第4水準2-13-76］
U+065BF		斿	※［＃「蝣－虫」、第4水準2-13-77］
U+065C2		旂	※［＃「族」の「矢」に代えて「斤」、第4水準2-13-78］
U+03ACB		㫋	※［＃「族」の「矢」に代えて「冉の4画目左右に突き出る」］
U+03ACB		㫋	※［＃「旗－其＋冉」］
U+065C8		旈	※［＃「方＋流のつくり」］
U+065C9		旉	※［＃「甫／方」、第4水準2-13-79］
U+065CE		旎	※［＃「族」の「矢」に代えて「尼」］
U+065D0		旐	※［＃「族」の「矢」に代えて「兆」］
U+065D4		旔	※［＃「方＋廴＋聿」、第4水準2-13-80］
U+065D6		旖	※［＃「族」の「矢」に代えて「奇斤」］
U+065D8		旘	※［＃「識」の「言」に代えて「方」］
U+065DF		旟	※［＃「族」の「矢」に代えて「與」］
U+065E3		旣	※［＃「皀＋旡」］	→［包摂適用　既］153
U+03AD6		㫖	※［＃「上／日」、第4水準2-13-81］
U+03AD7		㫗	※［＃「日／子」、第4水準2-14-22］
U+065F0		旰	※［＃「日＋干」］
U+065F2		旲	※［＃「日／大」、第4水準2-13-82］
U+065F4		旴	※［＃「日＋于」］
U+065F5		旵	※［＃「日／山」］
U+065F9		旹	※［＃「艸のつくり／一／日」、第4水準2-13-83］
U+065FC		旼	※［＃「日＋（吝－口）」、第4水準2-13-84］
U+065FE		旾	※［＃「屯／日」］
U+065FF		旿	※［＃「日＋午」］
U+06600		昀	※［＃「日＋（勹＜二）」、第3水準1-85-12］
U+06604		昄	※［＃「日＋反」、第4水準2-13-85］
U+06608		昈	※［＃「日＋戸の旧字」、第4水準2-13-86］
U+06609		昉	※［＃「日＋方」、第3水準1-85-13］
U+0660D		昍	※［＃「日＋日」］
U+06611		昑	※［＃「日＋今」］
U+06612		昒	※［＃「日＋勿」］
U+06615		昕	※［＃「日＋斤」、第3水準1-85-14］
U+06616		昖	※［＃「日＋蚣のつくり」］
U+03ADF		㫟	※［＃「日＋鉛のつくり」］
U+0661D		昝	※［＃「咎」の「口」に代えて「日」］
U+0661E		昞	※［＃「日＋炳のつくり」、第3水準1-85-15］
U+06621		昡	※［＃「日＋玄」、第4水準2-13-87］
U+06622		昢	※［＃「日＋出」、第3水準1-85-17］
U+06623		昣	※［＃「日＋珍のつくり」］
U+06624		昤	※［＃「日＋令」、第3水準1-85-18］
U+06626		昦	※［＃「日／介」の「人がしら」に代えて「大」］
U+06629		昩	※［＃「日＋末」］
U+0662A		昪	※［＃「日／弁」、第4水準2-13-88］
U+0662B		昫	※［＃「日＋句」、第3水準1-85-19］
U+0662C		昬	※［＃「緡のつくり」］
U+0662E		昮	※［＃「日／功」］
U+06630		昰	※［＃「日／正」、第3水準1-85-20］
U+06631		昱	※［＃「日／立」、第3水準1-85-21］
U+06633		昳	※［＃「日＋失」、第3水準1-85-22］
U+06637		昷	※［＃「温のつくり」］
U+06639		昹	※［＃「日＋永」］
U+0663A		昺	※［＃「日／丙」、第3水準1-85-16］
U+0663B		昻	※［＃「日／（功のへん＋卩）」］	→［包摂適用　昂］9
U+03AEA		㫪	※［＃「春」の「日」に代えて「旧」、第4水準2-13-92］
U+06640		晀	※［＃「日＋兆」］
U+06645		晅	※［＃「日＋亘」、第4水準2-13-89］
U+06646		晆	※［＃「日＋圭」］
U+06648		晈	※［＃「日＋皎のつくり」、第3水準1-85-24］
U+0664A		晊	※［＃「日＋至」］
U+0664C		晌	※［＃「日＋向」、第3水準1-85-25］
U+0664E		晎	※［＃「日＋共」、第4水準2-13-91］
U+06651		晑	※［＃「日／向」、第4水準2-13-90］
U+06657		晗	※［＃「日＋含」、第4水準2-13-94］
U+06658		晘	※［＃「日＋旱」］
U+06659		晙	※［＃「日＋俊のつくり」、第3水準1-85-27］
U+0665B		晛	※［＃「日＋見」、第4水準2-14-1］
U+0665C		晜	※［＃「日／弟」］
U+06660		晠	※［＃「日＋成」］
U+06661		晡	※［＃「日＋甫」、第3水準1-85-29］
U+06663		晣	※［＃「日＋折」、第4水準2-14-2］
U+06665		晥	※［＃「日＋完」、第3水準1-85-30］
U+231B6		𣆶	※［＃「勉」の「力」に代えて「日」、第4水準2-14-4］
U+231C3		𣇃	※［＃「券」の「刀」に代えて「旧」、第4水準2-13-93］
U+231C4		𣇄	※［＃「日／折」、第3水準1-85-26］
U+0666A		晪	※［＃「日＋典」、第4水準2-14-5］
U+0666B		晫	※［＃「日＋卓」、第4水準2-14-6］
U+0666C		晬	※［＃「日＋卒」、第4水準2-14-7］
U+0666D		晭	※［＃「日＋蜩のつくり」、第4水準2-14-8］
U+06673		晳	※［＃「析／日」、第3水準1-85-31］
U+06674		晴	※［＃「日＋睛のつくり」］	→［包摂適用　晴］146
U+06675		晵	※［＃「（戸の旧字＋攵）／日」］
U+06677		晷	※［＃「日／咎」、第3水準1-85-32］
U+06678		晸	※［＃「日／政」、第3水準1-85-33］
U+06679		晹	※［＃「日＋易」］
U+0667B		晻	※［＃「日＋奄」、第4水準2-14-9］
U+0667C		晼	※［＃「日＋宛」］
U+0667E		晾	※［＃「日＋京」］
U+0667F		晿	※［＃「日＋昌」］
U+06680		暀	※［＃「日＋往」、第4水準2-14-10］
U+231F5		𣇵	※［＃「日／明」、第4水準2-14-3］
U+03B05		㬅	※［＃「曼」の「又」に代えて「方」］
U+0668B		暋	※［＃「（民＋攵）／日」］
U+0668C		暌	※［＃「日＋癸」］
U+0668D		暍	※［＃「日＋曷」、第3水準1-85-34］
U+06690		暐	※［＃「日＋韋」、第4水準2-14-11］
U+06692		暒	※［＃「日＋星」、第4水準2-14-12］
U+06699		暙	※［＃「日＋春」、第4水準2-14-13］
U+03B0E		㬎	※［＃「濕のつくり」、第4水準2-14-14］
U+0669A		暚	※［＃「日＋搖のつくり」］
U+0669B		暛	※［＃「日＋差」］
U+0669C		暜	※［＃「竝／日」］
U+0669F		暟	※［＃「日＋豈」］
U+066A0		暠	※［＃「日／高」、第3水準1-85-36］
U+066A4		暤	※［＃「日＋皋」］
U+066AD		暭	※［＃「日＋皐」、第4水準2-14-15］
U+066B1		暱	※［＃「日＋匿」、第4水準2-14-16］
U+066B2		暲	※［＃「日＋章」、第3水準1-85-37］
U+066B5		暵	※［＃「日＋艱のへん」、第4水準2-14-17］
U+03B1A		㬚	※［＃「轍」の「車」に代えて「日」、第4水準2-14-18］
U+03B1C		㬜	※［＃「（到のへん＋至）／日」、第4水準2-14-20］
U+066BB		暻	※［＃「日＋景」、第3水準1-85-38］
U+066BF		暿	※［＃「日＋喜」、第4水準2-14-19］
U+066C0		曀	※［＃「日＋壹」］
U+066C2		曂	※［＃「日＋（廣－广）」］
U+066C3		曃	※［＃「日＋二点しんにょうの逮」］
U+066C6		曆	※［＃「櫪のつくり」の「止」に代えて「日」、第3水準1-85-39］	→［包摂適用　暦］140
U+066C8		曈	※［＃「日＋童」、第3水準1-85-40］
U+066CC		曌	※［＃「明／穴かんむり／工」］
U+03B22		㬢	※［＃「日＋義」、第3水準1-85-41］
U+066CE		曎	※［＃「日＋澤のつくり」］
U+066CF		曏	※［＃「日／郷」の「即のへん」に代えて「皀」］
U+066D4		曔	※［＃「日＋敬」］
U+066DB		曛	※［＃「日＋熏」、第3水準1-85-42］
U+066DF		曟	※［＃「晶／辰」］
U+066E8		曨	※［＃「日＋龍」、第3水準1-85-43］
U+066EB		曫	※［＃「戀」の「心」に代えて「日」］
U+066EC		曬	※［＃「日＋麗」、第4水準2-14-21］
U+066EE		曮	※［＃「日＋嚴」］
U+066FA		曺	※［＃「恵」の「心」に代えて「日」、第3水準1-85-44］
U+066FB		曻	※［＃「隣のつくり」の「米」に代えて「日」、第3水準1-85-23］
U+06701		朁	※［＃「僭のつくり」、第4水準2-14-23］
U+06705		朅	※［＃「去＋曷」、第4水準2-14-24］
U+06707		朇	※［＃「會＋婢のつくり」］
